account_id,customer_id,account_type,currency_code,balance,opened_date,status
1,257,investment,GBP,0,"2022-10-20 00:00:00",active
2,257,investment,GBP,0,"2022-09-08 00:00:00",active
3,257,savings,INR,0,"2022-06-08 00:00:00",active
4,258,investment,USD,0,"2023-07-18 00:00:00",active
5,258,loan,USD,0,"2022-11-13 00:00:00",active
6,259,checking,USD,0,"2023-06-04 00:00:00",active
7,260,loan,GBP,0,"2024-01-11 00:00:00",active
8,260,checking,INR,0,"2021-08-14 00:00:00",active
9,261,checking,EUR,0,"2023-05-09 00:00:00",active
10,261,loan,INR,0,"2021-12-15 00:00:00",active
11,261,investment,GBP,0,"2020-08-09 00:00:00",active
12,262,investment,GBP,0,"2021-12-08 00:00:00",active
13,262,checking,USD,0,"2021-01-02 00:00:00",active
14,262,checking,EUR,0,"2021-07-31 00:00:00",active
15,263,loan,EUR,0,"2024-09-23 00:00:00",active
16,264,checking,EUR,0,"2025-08-01 00:00:00",active
17,265,investment,INR,0,"2024-12-27 00:00:00",active
18,265,savings,USD,0,"2020-12-23 00:00:00",active
19,266,checking,USD,0,"2022-09-13 00:00:00",active
20,266,savings,INR,0,"2023-03-07 00:00:00",active
21,266,checking,INR,0,"2021-05-29 00:00:00",active
22,267,investment,GBP,0,"2021-06-27 00:00:00",active
23,267,investment,GBP,0,"2022-07-11 00:00:00",active
24,267,checking,USD,0,"2022-05-11 00:00:00",active
25,268,savings,USD,0,"2022-11-29 00:00:00",active
26,268,investment,EUR,0,"2025-04-26 00:00:00",active
27,268,checking,USD,0,"2024-11-26 00:00:00",active
28,269,checking,GBP,0,"2023-06-11 00:00:00",active
29,269,checking,EUR,0,"2020-10-18 00:00:00",active
30,270,loan,EUR,0,"2022-04-01 00:00:00",active
31,270,investment,USD,0,"2024-10-25 00:00:00",active
32,271,loan,USD,0,"2022-02-07 00:00:00",active
33,271,investment,INR,0,"2022-06-13 00:00:00",active
34,272,checking,EUR,0,"2022-07-05 00:00:00",active
35,272,investment,INR,0,"2024-08-15 00:00:00",active
36,272,checking,USD,0,"2024-07-16 00:00:00",active
37,273,loan,GBP,0,"2025-05-09 00:00:00",active
38,273,savings,GBP,0,"2021-12-20 00:00:00",active
39,273,savings,INR,0,"2022-06-16 00:00:00",active
40,274,savings,GBP,0,"2025-05-25 00:00:00",active
41,274,checking,USD,0,"2022-05-10 00:00:00",active
42,274,savings,INR,0,"2021-12-13 00:00:00",active
43,275,loan,USD,0,"2025-02-07 00:00:00",active
44,275,investment,USD,0,"2023-12-07 00:00:00",active
45,276,savings,USD,0,"2025-03-03 00:00:00",active
46,276,loan,GBP,0,"2022-08-27 00:00:00",active
47,276,checking,USD,0,"2023-10-01 00:00:00",active
48,277,loan,EUR,0,"2023-03-01 00:00:00",active
49,278,checking,INR,0,"2023-12-25 00:00:00",active
50,279,savings,EUR,0,"2025-02-15 00:00:00",active
51,280,checking,INR,0,"2024-08-13 00:00:00",active
52,281,loan,USD,0,"2021-06-22 00:00:00",active
53,281,checking,GBP,0,"2021-12-29 00:00:00",active
54,281,investment,EUR,0,"2025-06-01 00:00:00",active
55,282,checking,GBP,0,"2021-12-26 00:00:00",active
56,282,savings,EUR,0,"2024-10-10 00:00:00",active
57,282,checking,INR,0,"2022-03-12 00:00:00",active
58,283,checking,GBP,0,"2022-01-14 00:00:00",active
59,283,checking,USD,0,"2024-05-23 00:00:00",active
60,284,savings,INR,0,"2022-04-09 00:00:00",active
61,284,checking,INR,0,"2022-11-29 00:00:00",active
62,285,loan,EUR,0,"2024-07-24 00:00:00",active
63,285,checking,EUR,0,"2022-04-12 00:00:00",active
64,285,investment,GBP,0,"2023-08-16 00:00:00",active
65,286,checking,USD,0,"2023-10-23 00:00:00",active
66,286,loan,EUR,0,"2021-04-08 00:00:00",active
67,286,checking,GBP,0,"2024-09-19 00:00:00",active
68,287,investment,EUR,0,"2025-05-21 00:00:00",active
69,287,savings,EUR,0,"2025-08-02 00:00:00",active
70,288,investment,EUR,0,"2021-06-16 00:00:00",active
71,289,investment,GBP,0,"2023-02-25 00:00:00",active
72,289,savings,INR,0,"2022-08-22 00:00:00",active
73,289,loan,INR,0,"2023-02-06 00:00:00",active
74,290,savings,GBP,0,"2024-01-08 00:00:00",active
75,290,checking,INR,0,"2022-10-11 00:00:00",active
76,291,loan,INR,0,"2023-09-25 00:00:00",active
77,292,investment,GBP,0,"2021-03-30 00:00:00",active
78,292,savings,USD,0,"2024-12-26 00:00:00",active
79,293,investment,GBP,0,"2021-03-29 00:00:00",active
80,293,investment,INR,0,"2024-09-27 00:00:00",active
81,293,savings,EUR,0,"2021-12-12 00:00:00",active
82,294,checking,USD,0,"2025-03-28 00:00:00",active
83,294,savings,GBP,0,"2022-05-23 00:00:00",active
84,294,savings,EUR,0,"2021-11-07 00:00:00",active
85,295,checking,INR,0,"2024-02-19 00:00:00",active
86,295,checking,USD,0,"2021-03-22 00:00:00",active
87,296,loan,USD,0,"2022-01-24 00:00:00",active
88,296,investment,GBP,0,"2024-01-21 00:00:00",active
89,297,loan,INR,0,"2020-12-09 00:00:00",active
90,297,investment,GBP,0,"2021-02-16 00:00:00",active
91,298,savings,EUR,0,"2024-09-13 00:00:00",active
92,299,checking,USD,0,"2024-04-04 00:00:00",active
93,299,checking,INR,0,"2022-06-13 00:00:00",active
94,300,investment,INR,0,"2025-01-30 00:00:00",active
95,301,investment,INR,0,"2021-02-17 00:00:00",active
96,301,checking,GBP,0,"2021-01-16 00:00:00",active
97,301,savings,GBP,0,"2021-11-08 00:00:00",active
98,302,savings,EUR,0,"2023-04-17 00:00:00",active
99,302,savings,GBP,0,"2024-12-17 00:00:00",active
100,303,investment,USD,0,"2023-04-18 00:00:00",active
101,303,loan,INR,0,"2022-10-28 00:00:00",active
102,303,savings,USD,0,"2024-12-11 00:00:00",active
103,304,checking,INR,0,"2021-04-06 00:00:00",active
104,304,investment,INR,0,"2024-03-05 00:00:00",active
105,304,loan,USD,0,"2022-02-26 00:00:00",active
106,305,loan,INR,0,"2022-03-02 00:00:00",active
107,306,savings,INR,0,"2024-10-10 00:00:00",active
108,307,savings,EUR,0,"2023-04-16 00:00:00",active
109,307,checking,USD,0,"2023-08-19 00:00:00",active
110,308,loan,EUR,0,"2023-07-10 00:00:00",active
111,309,checking,GBP,0,"2023-09-16 00:00:00",active
112,309,loan,GBP,0,"2024-01-02 00:00:00",active
113,310,checking,INR,0,"2021-08-31 00:00:00",active
114,311,loan,EUR,0,"2022-05-02 00:00:00",active
115,312,savings,EUR,0,"2024-11-03 00:00:00",active
116,313,checking,INR,0,"2022-12-16 00:00:00",active
117,313,investment,GBP,0,"2025-07-14 00:00:00",active
118,314,investment,INR,0,"2020-08-16 00:00:00",active
119,314,checking,INR,0,"2022-02-24 00:00:00",active
120,315,checking,GBP,0,"2025-04-11 00:00:00",active
121,315,savings,GBP,0,"2022-07-02 00:00:00",active
122,315,checking,INR,0,"2024-07-03 00:00:00",active
123,316,savings,GBP,0,"2022-08-16 00:00:00",active
124,316,checking,USD,0,"2025-02-01 00:00:00",active
125,317,loan,INR,0,"2025-05-04 00:00:00",active
126,317,checking,GBP,0,"2024-02-23 00:00:00",active
127,318,loan,USD,0,"2023-09-15 00:00:00",active
128,318,investment,EUR,0,"2022-07-04 00:00:00",active
129,318,investment,INR,0,"2024-08-17 00:00:00",active
130,319,loan,INR,0,"2023-04-08 00:00:00",active
131,319,checking,USD,0,"2022-07-12 00:00:00",active
132,320,savings,GBP,0,"2022-07-29 00:00:00",active
133,320,checking,EUR,0,"2021-11-16 00:00:00",active
134,321,loan,USD,0,"2022-06-13 00:00:00",active
135,321,investment,INR,0,"2022-01-19 00:00:00",active
136,322,investment,INR,0,"2022-07-27 00:00:00",active
137,322,loan,GBP,0,"2022-01-08 00:00:00",active
138,322,loan,EUR,0,"2022-12-15 00:00:00",active
139,323,checking,INR,0,"2021-09-05 00:00:00",active
140,324,loan,INR,0,"2023-12-23 00:00:00",active
141,325,investment,USD,0,"2023-09-28 00:00:00",active
142,325,investment,INR,0,"2021-03-24 00:00:00",active
143,326,checking,GBP,0,"2023-10-06 00:00:00",active
144,327,savings,INR,0,"2020-10-05 00:00:00",active
145,328,investment,USD,0,"2020-08-30 00:00:00",active
146,328,savings,INR,0,"2023-07-23 00:00:00",active
147,329,savings,GBP,0,"2021-07-27 00:00:00",active
148,330,investment,GBP,0,"2021-02-01 00:00:00",active
149,330,savings,GBP,0,"2022-11-16 00:00:00",active
150,331,loan,EUR,0,"2024-09-21 00:00:00",active
151,331,investment,USD,0,"2023-11-07 00:00:00",active
