transaction_id,account_id,type,amount,currency_code,related_account_id,timestamp,description
1,1,deposit,4152.06,GBP,NULL,"2021-03-11 22:27:50","Auto-generated deposit"
2,1,deposit,2362.07,GBP,NULL,"2022-08-26 16:44:41","Auto-generated deposit"
3,1,payment,-507.60,GBP,NULL,"2025-06-05 20:37:00","Auto-generated payment"
4,1,payment,-829.54,GBP,NULL,"2023-07-17 23:16:24","Auto-generated payment"
5,1,deposit,1055.45,GBP,NULL,"2024-01-26 00:33:43","Auto-generated deposit"
6,1,payment,-318.93,GBP,NULL,"2022-04-22 17:53:43","Auto-generated payment"
7,1,payment,-263.57,GBP,NULL,"2024-04-20 18:35:33","Auto-generated payment"
8,1,deposit,1579.60,GBP,NULL,"2024-09-22 04:40:43","Auto-generated deposit"
9,1,payment,-730.05,GBP,NULL,"2024-04-24 03:55:35","Auto-generated payment"
10,1,exchange,-242.16,GBP,NULL,"2023-11-30 23:48:31","Auto-generated exchange"
11,1,withdrawal,-343.52,GBP,NULL,"2022-05-30 21:56:11","Auto-generated withdrawal"
12,1,withdrawal,-697.95,GBP,NULL,"2024-01-10 03:42:08","Auto-generated withdrawal"
13,1,exchange,935.67,GBP,NULL,"2025-07-15 07:40:51","Auto-generated exchange"
14,1,deposit,590.78,GBP,NULL,"2025-04-28 00:49:10","Auto-generated deposit"
15,1,withdrawal,-967.16,GBP,NULL,"2022-05-03 09:15:17","Auto-generated withdrawal"
16,1,deposit,2963.13,GBP,NULL,"2025-02-23 10:48:06","Auto-generated deposit"
17,1,deposit,768.88,GBP,NULL,"2021-12-31 23:15:39","Auto-generated deposit"
18,1,withdrawal,-498.97,GBP,NULL,"2024-10-20 03:00:06","Auto-generated withdrawal"
19,1,exchange,608.56,GBP,NULL,"2024-12-23 14:45:42","Auto-generated exchange"
20,2,deposit,4772.22,GBP,NULL,"2021-03-13 16:41:53","Auto-generated deposit"
21,2,exchange,639.25,GBP,NULL,"2021-12-29 18:46:42","Auto-generated exchange"
22,2,withdrawal,-643.88,GBP,NULL,"2024-10-11 04:07:31","Auto-generated withdrawal"
23,2,transfer,-1360.96,GBP,1349,"2024-05-06 13:35:23","Auto-generated transfer"
24,1349,transfer,1360.96,GBP,2,"2024-05-06 13:35:28","Auto-generated transfer"
25,2,payment,-869.01,GBP,NULL,"2021-11-24 09:29:27","Auto-generated payment"
26,2,payment,-115.16,GBP,NULL,"2024-04-01 11:00:18","Auto-generated payment"
27,2,withdrawal,-814.69,GBP,NULL,"2022-01-11 19:03:35","Auto-generated withdrawal"
28,2,exchange,-895.16,GBP,NULL,"2023-11-11 06:22:11","Auto-generated exchange"
